Id,Name,Custodian,Account Number Formats
312,Sanders Morris Harris LLC,pershingsandersmorrisharris,XXXNNNNNN (Master)
313,Charles Schwab High Yield Investor Checking (HYIC),schwab,NNNNNNNN (Master)
317,Bangor Savings Bank,bangorsavingsbankbai2,NNNNNNNNNNN (Master)
318,SYZ Capital AG,g2bankingsyzcapital,ANNNNNNN (Master)
319,StoneX,betastonex,"NNNNNNNN (Master)
NNNNNN (Master)"
320,Amegy Bank Treasury Management,,NNNNNNNNNN (Master)
322,Peoples United Bank,,NNNNNNNNNN (Master)
323,Sanctuary Securities,pershingsanctuarysecurities,XXXNNNNNN (Master)
325,TD Wealth Private Client Group,pershingtdwealth,XXXNNNNNN (Master)
326,Benjamin F. Edwards & Company Inc,pershingbenjaminfedwards,XXXNNNNNNN (Master)
327,Intercam Securities Inc,pershingintercam,XXXNNNNNN (Master)
328,Popular Bank,popularbankbai2,NNNNNNNNNN (Master)
332,Banco do Brasil Securities,pershingbrasilsecurities,XXXNNNNNN (Master)
333,Rothschild Investment Corporation,pershingrothschildinvestment,XXXNNNNNN (Master)
334,"Credit Suisse PsN Light (CH, LU)",creditsuissepsnchlu,"NNN-NNNNNNN-N (Master)
NNNNN-N (Master)
NNNNNN-N (Master)
NNNNNN-NN (Master)
NNNNNNN-N (Master)
NNNN-NNNNNNN-NN-NNN (Master)"
335,First Republic Securities Company,pershingfirstrepublic,XXXNNNNNN (Master)
336,Principal Financial: Principal Custody Solutions,principalfinancial,"NNNNNNNN (Master)
NNNNNNNNN (Master)
NNNNNNNNNN (Master)"
337,BCI Securities,pershingbcisecurities,XXXNNNNNN (Master)
338,CIBC Private Wealth Management,smacibcprivatewealth,NNN-NNNN (Master)
339,M.S. Howells & Co.,pershingmshowells,XXXNNNNNN (Master)
340,CIBC First Caribbean International Bank,pershingcibcfirstcaribbean,XXXNNNNNN (Master)
343,Fidelity Investments: Private Wealth Management (PWM),fidelity,"ANNNNNNNN (Master)
NNNNNNNNN (Master)"
344,Pacific Premier Trust,smapacificpremiertrust,NNNNNNNNNNNN (Master)
345,UMB Investment Bank Private Wealth Management,smaumbbank,NNNNNNNN (Master)
346,Frost Bank Brokerage,fidelity,NNNNNNNNN (Master)
347,CIBC Mellon,workbench,"AAAANNNNNNNNN (Master)
AAAANNNNNNNN (Master)"
348,"BTIG, LLC",pershingbtigprimebrokerage,XXXNNNNNN (Master)
349,"LW Casa de Valores, S.R.L.",pershingcasavalores,XXXNNNNNN (Master)
351,Credicorp Capital,pershingcredicorpcapital,XXXNNNNNN (Master)
352,CG Compass (USA) LLC,pershingcompassgroup,XXXNNNNNN (Master)
353,Bank Vontobel AG (CH),vontobel,"NNNNNN.NNN (Master)
NNNNNNN.NNN (Master)
NNNNNNNX.NNN (Master)
NNNNN.NNN (Master)"
355,Access Securities,pershingaccesssecurities,XXXNNNNNN (Master)
356,Old National Bank,fisoldnational,NNNNNNNNN (Master)
358,Wells Fargo Prime Services,wellsfargoprimeservicesgpas,"NAANNNNN (Master)
AANN (Master)"
360,Greenleaf Trust,fitekgreenleaftrust,"NNNNNNNN (Master)
NXNNNNNN (Master)"
